,0
678,965
679,1051
680,1146
681,1090
682,908
683,1041
684,1145
685,1077
686,911
687,1144
688,1159
689,1142
690,637
691,1082
692,832
693,892
694,964
695,1277
696,1035
697,982
698,1011
699,1024
700,892
701,1284
702,829
703,931
704,1050
705,1000
706,1043
707,1018
708,1252
709,1027
710,1104
711,1419
712,1326
713,1005
714,766
715,1130
716,905
717,1269
718,1180
719,1136
720,989
721,769
722,1116
723,962
724,869
725,718
726,888
727,1106
728,842
729,784
730,1063
731,925
732,1146
733,1063
734,1225
735,688
736,972
737,924
738,717
739,1285
740,1012
741,1182
742,1210
743,1021
744,1069
745,854
746,953
747,1182
748,952
749,1168
750,875
751,1040
752,1164
753,1134
754,836
755,1219
756,1103
757,1094
758,701
759,1110
760,1043
761,1054
762,1079
763,930
764,1084
765,873
766,1106
767,697
768,947
769,1288
770,1140
771,1139
772,1073
773,1123
774,1108
775,599
776,1052
777,1029
778,1210
779,1053
780,1055
781,1382
782,760
783,802
784,1007
785,1241
786,910
787,820
788,898
789,1140
790,1029
791,1035
792,705
793,1248
794,1184
795,-8436
796,-9093
797,1187
798,200
799,766
800,749
801,531
802,1164
803,1039
804,782
805,521
806,1157
807,768
808,1164
809,1131
810,1064
811,1148
812,851
813,935
814,1064
815,1148
816,982
817,1084
818,1172
819,685
820,1226
821,1037
822,662
823,1057
824,891
825,676
826,1067
827,885
828,1261
829,849
830,1199
831,1250
832,1230
833,1104
834,728
835,970
836,1162
837,894
838,1115
839,969
840,716
841,724
842,1062
843,994
844,1205
845,1016
846,957
847,1168
848,1046
849,1198
850,987
851,993
852,1041
853,814
854,838
855,1130
856,1162
857,1044
858,1052
859,1183
860,1033
861,1051
862,1091
863,1120
864,1218
865,1189
866,1005
867,796
868,955
869,1174
870,965
871,1025
872,918
873,884
874,1357
875,-5649
876,-11439
877,-104
878,-10205
879,121
880,-835
881,-182
882,441
883,1139
884,1250
885,960
886,1018
887,1212
888,884
889,1287
890,1034
891,1134
892,1164
893,1223
894,1115
895,1036
896,1168
897,1192
898,1126
899,1072
900,841
901,1043
902,1210
903,1014
904,1129
905,960
906,1063
907,933
908,617
909,1114
910,1148
911,1062
912,1161
913,1116
914,1057
915,1033
916,1075
917,1133
918,918
919,978
920,1426
921,1202
922,1250
923,1094
924,1200
925,1173
926,1048
927,993
928,959
929,1197
930,1190
931,962
932,1100
933,886
934,1254
935,953
936,970
937,1316
938,1063
939,1187
940,686
941,1075
942,892
943,1097
944,1037
945,1180
946,1052
947,1186
948,758
949,898
950,699
951,1206
952,1380
953,885
954,419
955,1115
956,909
957,1433
958,1016
959,965
960,1048
961,997
962,800
963,784
964,882
965,1196
966,962
967,1269
968,835
969,992
970,932
971,1436
972,1043
973,1057
974,847
975,1221
976,1002
977,923
978,1122
