,0
729,856
730,1032
731,1035
732,709
733,1081
734,835
735,993
736,1124
737,787
738,999
739,1068
740,894
741,860
742,1229
743,931
744,739
745,783
746,817
747,735
748,872
749,1112
750,638
751,581
752,992
753,537
754,966
755,986
756,957
757,1244
758,948
759,887
760,715
761,886
762,1090
763,774
764,441
765,770
766,471
767,874
768,963
769,1031
770,1045
771,677
772,485
773,889
774,887
775,891
776,952
777,793
778,892
779,877
780,883
781,1230
782,1104
783,778
784,1114
785,900
786,983
787,927
788,-261
789,783
790,829
791,917
792,1025
793,428
794,327
795,1116
796,843
797,1013
798,898
799,1084
800,1303
801,1247
802,1364
803,314
804,778
805,1037
806,539
807,1140
808,379
809,882
810,1048
811,550
812,584
813,1154
814,899
815,605
816,732
817,1208
818,795
819,516
820,997
821,962
822,825
823,831
824,660
825,1134
826,903
827,510
828,695
829,1084
830,1043
831,1050
832,936
833,850
834,844
835,341
836,895
837,897
838,630
839,1097
840,1029
841,1199
842,1289
843,592
844,1227
845,1103
846,972
847,1122
848,952
849,490
850,557
851,735
852,735
853,531
854,1077
855,409
856,807
857,1187
858,899
859,835
860,1342
861,901
862,929
863,804
864,98
865,1015
866,790
867,1062
868,1100
869,855
870,621
871,372
872,970
873,891
874,1081
875,1004
876,1037
877,785
878,1095
879,1119
880,1049
881,847
882,829
883,366
884,1219
885,950
886,872
887,945
888,1231
889,886
890,910
891,884
892,1078
893,945
894,728
895,907
896,402
897,1191
898,812
899,801
900,952
901,1009
902,1065
903,669
904,1056
905,701
906,734
907,1065
908,812
909,720
910,422
911,771
912,954
913,883
914,861
915,736
916,229
917,752
918,544
919,360
920,1225
921,886
922,862
923,968
924,1272
925,878
926,947
927,810
928,1029
929,1140
930,1242
931,1243
932,1091
933,749
934,750
935,1142
936,838
937,1041
938,1083
939,929
940,1175
941,1015
942,1146
943,934
944,1252
945,791
946,1067
947,1202
948,542
949,842
950,743
951,728
952,999
953,1039
954,768
955,870
956,876
957,1008
958,952
959,890
960,732
961,874
962,936
963,982
964,1043
965,1253
966,947
967,650
968,1070
969,964
970,1176
971,966
972,786
973,986
974,703
975,482
976,1110
977,1146
978,594
979,1012
980,-46
981,877
982,956
983,831
984,1002
985,977
986,1427
987,908
988,950
989,532
990,419
991,1299
992,921
993,1185
994,732
995,863
996,1020
997,1186
998,878
999,1179
1000,432
1001,441
1002,793
1003,915
1004,1227
1005,799
1006,1013
1007,941
1008,894
1009,729
1010,1049
1011,1190
1012,792
1013,508
1014,779
1015,675
1016,840
1017,989
1018,811
1019,849
1020,-159
1021,1169
1022,743
1023,1160
1024,776
1025,929
1026,694
1027,1115
1028,836
1029,690
1030,1245
1031,1083
1032,675
1033,1013
1034,1060
1035,1057
1036,999
1037,586
1038,1041
1039,593
1040,518
1041,1026
1042,672
1043,491
1044,1130
1045,826
1046,465
1047,788
1048,968
1049,718
1050,963
1051,1371
1052,573
1053,1025
1054,803
1055,1159
1056,1157
1057,1018
1058,1252
1059,1070
1060,961
1061,1059
1062,958
1063,1109
1064,818
1065,850
1066,647
1067,899
