,0
0,-112
1,-1411
2,-445
3,-7771
4,695
5,93
6,-460
7,911
8,963
9,174
10,-1522
11,-414
12,-156
13,248
14,462
15,-2278
16,-1314
17,-169
18,-497
19,-248
20,929
21,-6803
22,-230
23,-697
24,160
25,536
26,-521
27,-1586
28,284
29,-1701
30,263
31,808
32,-178
33,-7928
34,34
35,61
36,-1390
37,-162
38,-1204
39,-354
40,-134
41,-14397
42,-610
43,-851
44,276
45,318
46,231
47,267
48,-625
49,154
50,-373
51,-424
52,-1359
53,-292
54,874
55,482
56,-1381
57,58
58,-162
59,-34
60,-357
61,-8395
62,52
63,-1636
64,439
65,-234
66,530
67,73
68,201
69,-851
70,-1044
71,-14
72,-1467
73,291
74,-163
75,-723
76,-336
77,438
78,-8485
79,-954
80,89
81,460
82,-1248
83,-546
84,-106
85,-205
86,-560
87,-301
88,368
89,-182
90,-127
91,226
92,571
93,-149
94,78
95,-8102
96,-858
97,-144
98,-36
99,1083
100,-4528
101,-21
102,-100
103,367
104,-9195
105,-3167
106,680
107,-319
108,-1971
109,358
110,896
111,-581
112,-1970
113,219
114,-706
115,-250
116,-221
117,-725
118,-1029
119,75
120,667
121,-1540
122,78
123,583
124,-320
125,671
126,-5922
127,917
128,177
129,754
130,-267
131,417
132,-194
133,-389
134,-571
135,-306
136,604
137,114
138,-1068
139,398
140,-1895
141,-7002
142,-3091
143,-12
144,-1532
145,-17
146,-602
147,-168
148,21
149,-1128
150,-151
151,530
152,-114
153,451
154,647
155,-1006
156,-42
157,684
158,-6231
159,-325
160,382
161,-542
162,307
163,-1229
164,593
165,-48
166,313
167,-1785
168,-739
169,896
170,-3235
171,660
172,-2335
173,985
174,-481
175,-1290
176,439
177,269
178,-884
179,-1109
180,252
181,-127
182,-1334
183,70
184,608
185,-926
186,-1145
187,-5236
188,-1110
189,162
190,-8158
191,-201
192,213
193,-464
194,-101
195,-7358
196,736
197,186
198,-526
199,-543
200,49
201,-166
202,-615
203,281
204,796
205,-227
206,-46
207,-75
208,-111
209,88
210,192
211,-865
212,-70
213,64
214,626
215,-171
216,421
217,304
218,-199
219,-482
220,-731
221,437
222,-4142
223,230
224,18
225,266
226,272
227,-709
228,150
229,159
230,-485
231,-500
232,-1661
233,-432
234,-713
235,-1656
236,-7714
237,-698
238,108
239,137
240,-1600
241,-878
242,786
243,35
244,-362
245,623
246,-2813
247,354
248,-225
249,723
250,-576
251,791
252,55
253,-1457
254,-430
255,-7309
256,1112
257,-1457
258,18
259,-792
260,187
261,-386
262,492
263,380
264,529
265,175
266,302
267,-1123
268,134
269,-1122
270,-74
271,-6487
272,-1969
273,-3421
274,-1147
275,640
276,-7906
277,-654
278,-9762
279,457
280,77
281,912
282,-954
283,319
284,-397
285,-182
286,-49
287,-1495
288,-1750
289,-578
290,-79
291,322
292,714
293,-87
294,1415
295,338
296,-613
297,-8054
298,-1542
299,502
300,520
301,69
302,177
303,782
304,-16
305,953
306,-421
307,-143
308,-8035
309,-6581
310,694
311,-7098
312,527
313,-6063
314,-1251
315,93
316,352
317,215
318,-696
319,693
320,-198
321,-411
322,492
323,243
324,-424
325,-6623
326,-830
327,881
328,-1068
329,-8134
330,212
331,-146
332,-511
333,256
334,96
335,-1406
336,-132
337,240
338,-7609
339,132
340,533
341,-763
342,613
343,-1117
344,564
345,-30
346,154
347,-2270
348,33
349,502
350,-1137
351,-309
352,8
353,-47
354,363
355,246
356,-395
357,-315
358,-3980
359,-85
360,47
361,233
362,-1031
363,489
364,-462
365,125
366,-63
367,-511
368,650
369,-35
370,437
371,-5650
372,-1270
373,-4
374,-980
375,516
376,429
377,-5289
378,-638
379,392
380,-1771
381,-877
382,-114
383,350
384,-232
385,407
386,616
387,439
388,-1503
389,-334
390,-9448
391,351
392,-101
393,-1024
394,924
395,-6775
396,113
397,-7653
398,-1338
399,-518
400,189
401,1025
402,-499
403,261
404,721
405,0
406,-1010
407,407
408,-1420
409,-157
410,257
411,-737
412,-622
413,60
414,-1084
415,406
416,-821
417,263
418,343
419,480
420,56
421,-1071
422,1272
423,-822
424,239
425,-988
426,-356
427,338
428,-279
429,-729
430,301
431,-3789
432,-594
433,249
434,196
435,516
436,-59
437,742
438,-240
439,-3791
440,-5416
441,695
442,1104
443,440
444,312
445,-170
446,459
