rate_dt,tenor,rate,value_dt
2010-06-10,36,2.2445909567840245,2013-06-10
2010-06-10,48,3.063843469367328,2014-06-10
2010-06-10,60,3.702745744938226,2015-06-10
2010-06-10,84,4.437401514337527,2017-06-10
2010-06-10,120,4.619316967241938,2020-06-09
2010-06-10,180,4.133307189898695,2025-06-10
2010-06-10,360,3.421381425599831,2040-06-09
2010-06-11,0,0.1943389365108609,2010-06-14
2010-06-11,3,0.1943389365108609,2010-09-09
2010-06-11,6,0.2194291897577185,2010-12-09
2010-06-11,9,0.3072449190948356,2011-03-11
2010-06-11,12,0.4437313961386722,2011-06-11
2010-06-11,15,0.6170358955198574,2011-09-09
2010-06-11,18,0.8172108336566399,2011-12-09
2010-06-11,24,1.2663799757939058,2012-06-10
2010-06-11,36,2.206390514080865,2013-06-11
2010-06-11,48,3.03568798040926,2014-06-11
2010-06-11,60,3.675114361373869,2015-06-11
2010-06-11,84,4.393404923281433,2017-06-11
2010-06-11,120,4.556952184980879,2020-06-10
2010-06-11,180,4.110257604077451,2025-06-11
2010-06-11,360,3.5347449275679543,2040-06-10
2010-06-14,0,0.2048778547987565,2010-06-15
2010-06-14,3,0.2048778547987565,2010-09-12
2010-06-14,6,0.2392523396483377,2010-12-12
2010-06-14,9,0.333222912676554,2011-03-14
2010-06-14,12,0.473418711843395,2011-06-14
2010-06-14,15,0.6485511360132494,2011-09-12
2010-06-14,18,0.8491353871399752,2011-12-12
2010-06-14,24,1.2963043444255948,2012-06-13
2010-06-14,36,2.227671669373433,2013-06-14
2010-06-14,48,3.048842678114987,2014-06-14
2010-06-14,60,3.683507545077725,2015-06-14
2010-06-14,84,4.401650115692702,2017-06-14
2010-06-14,120,4.574605038298333,2020-06-13
2010-06-14,180,4.138374635119501,2025-06-14
2010-06-14,360,3.5625396479568194,2040-06-13
2010-06-15,0,0.210861186040647,2010-06-16
2010-06-15,3,0.210861186040647,2010-09-13
2010-06-15,6,0.2616315352356042,2010-12-13
2010-06-15,9,0.3675210564993416,2011-03-15
2010-06-15,12,0.5160573866748752,2011-06-15
2010-06-15,15,0.6967004239256633,2011-09-13
2010-06-15,18,0.9005861967774043,2011-12-13
2010-06-15,24,1.3496886883591994,2012-06-14
2010-06-15,36,2.275549454675047,2013-06-15
2010-06-15,48,3.0886902461554007,2014-06-15
2010-06-15,60,3.717766884931159,2015-06-15
2010-06-15,84,4.43447582112533,2017-06-15
2010-06-15,120,4.617492393736995,2020-06-14
2010-06-15,180,4.194934141520911,2025-06-15
2010-06-15,360,3.6221288442788406,2040-06-14
2010-06-16,0,0.2232150411419484,2010-06-17
2010-06-16,3,0.2232150411419484,2010-09-14
2010-06-16,6,0.26049090909501,2010-12-14
2010-06-16,9,0.3570019014438124,2011-03-16
2010-06-16,12,0.4994148268815057,2011-06-16
2010-06-16,15,0.6764749335606326,2011-09-14
2010-06-16,18,0.8787278352828491,2011-12-14
2010-06-16,24,1.3285635019430764,2012-06-15
2010-06-16,36,2.2631867711528364,2013-06-16
2010-06-16,48,3.0857087456851824,2014-06-16
2010-06-16,60,3.720536807453648,2015-06-16
2010-06-16,84,4.437146895254427,2017-06-16
2010-06-16,120,4.606326739612767,2020-06-15
2010-06-16,180,4.1646884270750455,2025-06-16
2010-06-16,360,3.58361664877547,2040-06-15
2010-06-17,0,0.2194790528849545,2010-06-18
2010-06-17,3,0.2194790528849545,2010-09-15
2010-06-17,6,0.2729178087071631,2010-12-15
2010-06-17,9,0.3806795468466259,2011-03-17
2010-06-17,12,0.5304202546886603,2011-06-17
2010-06-17,15,0.711711501540297,2011-09-15
2010-06-17,18,0.915786286792262,2011-12-15
2010-06-17,24,1.3642139094934036,2012-06-16
2010-06-17,36,2.286220759751441,2013-06-17
2010-06-17,48,3.0943244067461744,2014-06-17
2010-06-17,60,3.7186281944984745,2015-06-17
2010-06-17,84,4.428727391683954,2017-06-17
2010-06-17,120,4.609359993406973,2020-06-16
2010-06-17,180,4.192461739754719,2025-06-17
2010-06-17,360,3.631867693783888,2040-06-16
2010-06-18,0,0.2336841631635058,2010-06-21
2010-06-18,3,0.2336841631635058,2010-09-16
2010-06-18,6,0.3014670929297263,2010-12-16
2010-06-18,9,0.4196195994622855,2011-03-18
2010-06-18,12,0.5765293708788071,2011-06-18
2010-06-18,15,0.7623861329002826,2011-09-16
2010-06-18,18,0.9689434634419004,2011-12-16
2010-06-18,24,1.4177630059385522,2012-06-17
2010-06-18,36,2.330521047823937,2013-06-18
2010-06-18,48,3.125441456102962,2014-06-18
2010-06-18,60,3.738010657989861,2015-06-18
2010-06-18,84,4.434295699888603,2017-06-18
2010-06-18,120,4.612630805317547,2020-06-17
2010-06-18,180,4.206009331084775,2025-06-18
2010-06-18,360,3.658562100982143,2040-06-17
2010-06-21,0,0.2673922989789845,2010-06-22
2010-06-21,3,0.2673922989789845,2010-09-19
2010-06-21,6,0.344527026608433,2010-12-19
2010-06-21,9,0.4679121834848865,2011-03-21
2010-06-21,12,0.6268758848454423,2011-06-21
2010-06-21,15,0.8123843605558569,2011-09-19
2010-06-21,18,1.0168284428251702,2011-12-19
2010-06-21,24,1.458104132790068,2012-06-20
2010-06-21,36,2.3515912514900594,2013-06-21
2010-06-21,48,3.130688463780201,2014-06-21
2010-06-21,60,3.734395427367301,2015-06-21
2010-06-21,84,4.430820529370407,2017-06-21
2010-06-21,120,4.628281596473256,2020-06-20
2010-06-21,180,4.24576768446318,2025-06-21
2010-06-21,360,3.7037333845092086,2040-06-20
2010-06-22,0,0.2666936380727962,2010-06-23
2010-06-22,3,0.2666936380727962,2010-09-20
2010-06-22,6,0.3384405217281436,2010-12-20
2010-06-22,9,0.457470759244122,2011-03-22
2010-06-22,12,0.6128914582148957,2011-06-22
2010-06-22,15,0.7954873201454999,2011-09-20
2010-06-22,18,0.9975010347696998,2011-12-20
2010-06-22,24,1.434906370249272,2012-06-21
2010-06-22,36,2.3225425176917174,2013-06-22
2010-06-22,48,3.096286771268796,2014-06-22
2010-06-22,60,3.6943693835115536,2015-06-22
2010-06-22,84,4.379286150996996,2017-06-22
2010-06-22,120,4.563057500364378,2020-06-21
2010-06-22,180,4.17138486256192,2025-06-22
2010-06-22,360,3.6312373125894415,2040-06-21
2010-06-23,0,0.2710818251242507,2010-06-24
2010-06-23,3,0.2710818251242507,2010-09-21
2010-06-23,6,0.3521219994589202,2010-12-21
2010-06-23,9,0.4741383771769543,2011-03-23
2010-06-23,12,0.6279620389241889,2011-06-23
2010-06-23,15,0.8057727259728646,2011-09-21
2010-06-23,18,1.000930884548925,2011-12-21
2010-06-23,24,1.421759020983337,2012-06-22
2010-06-23,36,2.278996288086571,2013-06-23
2010-06-23,48,3.0376186872688797,2014-06-23
2010-06-23,60,3.636956119179029,2015-06-23
2010-06-23,84,4.353292464191728,2017-06-23
2010-06-23,120,4.586925994565862,2020-06-22
2010-06-23,180,4.195429803640614,2025-06-23
2010-06-23,360,3.5432209072404843,2040-06-22
2010-06-24,0,0.2788746291893955,2010-06-25
2010-06-24,3,0.2788746291893955,2010-09-22
2010-06-24,6,0.3389157418912534,2010-12-22
2010-06-24,9,0.4439537011329251,2011-03-24
2010-06-24,12,0.5842986036532292,2011-06-24
2010-06-24,15,0.7516663576403237,2011-09-22
2010-06-24,18,0.9390049381364252,2011-12-22
