Data Source in SDW: https://sdw.ecb.europa.eu/browseSelection.do?node=9689726,,,,,,,,,,,,,,
,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_15Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_1Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_1Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_1Y6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_2Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_30Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_3Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_4Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_5Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_7Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_9M
08/04/2019,0.835668,1.073003,-0.616641,-0.611267,-0.597597,-0.548258,1.132412,-0.577965,-0.383683,-0.170785,0.053297,-0.600297,0.451297,-0.613127
05/04/2019,0.833691,1.072035,-0.616133,-0.610876,-0.597411,-0.548631,1.131801,-0.578079,-0.385264,-0.173253,0.050379,-0.599987,0.448427,-0.61263
04/04/2019,0.830921,1.071194,-0.624021,-0.619192,-0.60595,-0.557197,1.131918,-0.582633,-0.393109,-0.180146,0.044359,-0.606095,0.443863,-0.619811
03/04/2019,0.859776,1.106376,-0.62617,-0.621201,-0.60767,-0.557943,1.169011,-0.584244,-0.390654,-0.173472,0.055614,-0.608049,0.463689,-0.621944
02/04/2019,0.795051,1.034419,-0.648555,-0.647424,-0.636941,-0.591646,1.09495,-0.587754,-0.429776,-0.216584,0.008566,-0.619398,0.408612,-0.639467
01/04/2019,0.793355,1.041391,-0.637225,-0.63576,-0.625914,-0.583678,1.104971,-0.58748,-0.430095,-0.223481,-0.001688,-0.613243,0.399141,-0.629818
29/03/2019,0.754853,0.996659,-0.644182,-0.643961,-0.635167,-0.594706,1.058463,-0.588536,-0.444364,-0.241335,-0.023503,-0.616754,0.369442,-0.635248
28/03/2019,0.723898,0.964078,-0.627583,-0.625392,-0.6161,-0.577693,1.025597,-0.591638,-0.437313,-0.245487,-0.036963,-0.610388,0.344533,-0.622536
27/03/2019,0.725693,0.963142,-0.658262,-0.658587,-0.650201,-0.610319,1.02351,-0.599487,-0.460931,-0.259204,-0.043126,-0.629081,0.345673,-0.648587
26/03/2019,0.760186,0.983443,-0.591977,-0.584661,-0.570732,-0.524549,1.03875,-0.574002,-0.374391,-0.179319,0.027747,-0.586378,0.398959,-0.592517
