period,fixed_period,interest
2013-11-01,1>5 years,3.3
2013-11-01,5>10 years,4.09
2013-11-01,<= 1 year,2.84
2013-11-01,>10 years,4.73
2013-12-01,1>5 years,3.32
2013-12-01,5>10 years,4.03
2013-12-01,<= 1 year,2.86
2013-12-01,>10 years,4.69
2014-01-01,1>5 years,3.3
2014-01-01,5>10 years,3.95
2014-01-01,<= 1 year,2.85
2014-01-01,>10 years,4.73
2014-02-01,1>5 years,3.18
2014-02-01,5>10 years,3.9
2014-02-01,<= 1 year,2.73
2014-02-01,>10 years,4.63
2014-03-01,1>5 years,3.18
2014-03-01,5>10 years,3.83
2014-03-01,<= 1 year,2.78
2014-03-01,>10 years,4.58
2014-04-01,1>5 years,3.17
2014-04-01,5>10 years,3.84
2014-04-01,<= 1 year,2.75
2014-04-01,>10 years,4.67
2014-05-01,1>5 years,3.05
2014-05-01,5>10 years,3.78
2014-05-01,<= 1 year,2.79
2014-05-01,>10 years,4.56
2014-06-01,1>5 years,2.97
2014-06-01,5>10 years,3.75
2014-06-01,<= 1 year,2.7
2014-06-01,>10 years,4.48
2014-07-01,1>5 years,2.93
2014-07-01,5>10 years,3.7
2014-07-01,<= 1 year,2.63
2014-07-01,>10 years,4.56
2014-08-01,1>5 years,2.95
2014-08-01,5>10 years,3.63
2014-08-01,<= 1 year,2.67
2014-08-01,>10 years,4.13
2014-09-01,1>5 years,2.9
2014-09-01,5>10 years,3.52
2014-09-01,<= 1 year,2.67
2014-09-01,>10 years,3.98
2014-10-01,1>5 years,2.87
2014-10-01,5>10 years,3.42
2014-10-01,<= 1 year,2.58
2014-10-01,>10 years,3.93
2014-11-01,1>5 years,2.76
2014-11-01,5>10 years,3.27
2014-11-01,<= 1 year,2.56
2014-11-01,>10 years,3.84
2014-12-01,1>5 years,2.67
2014-12-01,5>10 years,3.18
2014-12-01,<= 1 year,2.47
2014-12-01,>10 years,3.78
2015-01-01,1>5 years,2.68
2015-01-01,5>10 years,3.17
2015-01-01,<= 1 year,2.45
2015-01-01,>10 years,3.87
2015-02-01,1>5 years,2.71
2015-02-01,5>10 years,3.11
2015-02-01,<= 1 year,2.48
2015-02-01,>10 years,3.74
2015-03-01,1>5 years,2.56
2015-03-01,5>10 years,3.05
2015-03-01,<= 1 year,2.38
2015-03-01,>10 years,3.61
